Kylian Mbappé, ST/LW, Paris SG, France, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/231747.png, 00001
San Emeterio, CM/CDM, Cádiz CF, Spain, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/223654.png, 03308
Leart Paqarada, LB/LWB, FC St. Pauli, Kosovo, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/223633.png, 03309
Smail Prevljak, ST, KAS Eupen, Bosnia & Herzegovina, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/223596.png, 03310
Andrea Conti, RB/RM, Sampdoria, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/223329.png, 03311
Marcelo Benítez, LB/LM/CM, Central Córdoba, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/223241.png, 03312
Florin Tănase, CF/ST/CM, Free Agents, Romania, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/223231.png, 03313
Ulisses Garcia, LB/LM, BSC Young Boys, Switzerland, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/223143.png, 03314
Jorge Meré, CB, Cádiz CF, Spain, Value: 150, https://fifastatic.fifaindex.com/FIFA23/players/223033.png, 03315
Jony, LM, R. Sporting, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/222943.png, 03316
Bernard Mensah, CAM/CM, Kayserispor, Ghana, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/222457.png, 03317
Andrés Cubas, CM/CDM, Whitecaps FC, Paraguay, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/222429.png, 03318
Nikita Haikin, GK, Bristol City, Russia, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/222389.png, 03319
Cristian Buonaiuto, LM/CAM, Cremonese, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/222153.png, 03320
Aaron Long, CB, LAFC, United States, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/222123.png, 03321
Craig Halkett, CB, Hearts, Scotland, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/222045.png, 03322
Leonel Di Plácido, RB/RWB/RM, Lanús, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/222022.png, 03323
Peter Michorl, CM/CDM/CAM, LASK, Austria, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221944.png, 03324
Paul Seguin, CM, Union Berlin, Germany, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/221885.png, 03325
Erik Thommy, LM/CM/CF, Sporting KC, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221797.png, 03326
Marcel Sobottka, CDM/CM, Düsseldorf, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221753.png, 03327
Matt Clarke, CB, Middlesbrough, England, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/221600.png, 03328
Lee Chang Min, CM, Jeju United, Korea Republic, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221467.png, 03329
Thierry Ambrose, ST/LM, KV Oostende, France, Value: 148, https://fifastatic.fifaindex.com/FIFA23/players/221350.png, 03330
Luca Mazzitelli, CM/CDM, Frosinone, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221331.png, 03331
Jérôme Onguéné, CB, RB Salzburg, Cameroon, Value: 150, https://fifastatic.fifaindex.com/FIFA23/players/221323.png, 03332
Alexis Pérez, CB, Giresunspor, Colombia, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/221312.png, 03333
Michael Barrios, RM/ST, Colorado Rapids, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221306.png, 03334
Tim Leibold, LB/LM, Sporting KC, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/221201.png, 03335
Mathieu Maertens, CF/CAM/CM, OH Leuven, Belgium, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220847.png, 03336
Mickaël Malsa, CM/CDM, R. Valladolid CF, France, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220831.png, 03337
Marco Ilaimaharitra, CDM/CM, Sp. Charleroi, Madagascar, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220782.png, 03338
Ryan Thomas, CM/CAM/CDM, Free Agents, New Zealand, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/220763.png, 03339
Gregory Wüthrich, CB, SK Sturm Graz, Switzerland, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220665.png, 03340
Federico Ricci, RW/CAM, Reggina, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/220513.png, 03341
Lorenzo Venuti, RB, Fiorentina, Italy, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220509.png, 03342
Alberto Grassi, CM/CDM, Empoli, Italy, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/220475.png, 03343
Iza Carcelén, RB/RM, Cádiz CF, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/220348.png, 03344
Nicolás Orsini, ST, Boca Juniors, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/220148.png, 03345
Mohammed Kanno, CM/CDM, Al Hilal, Saudi Arabia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/220075.png, 03346
Pietro Ceccaroni, CB, Lecce, Italy, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/219956.png, 03347
Liam Henderson, CM/CAM/CF, Empoli, Scotland, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/219952.png, 03348
Alex Ferrari, CB/RB, Cremonese, Italy, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/219852.png, 03349
David Costas, CB, R. Oviedo, Spain, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/219848.png, 03350
Sean Klaiber, RB, FC Utrecht, Suriname, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/219814.png, 03351
Cédric Hountondji, CB, Angers SCO, Benin, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/219680.png, 03352
Francesco Zampano, RWB/LWB, Venezia, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/219655.png, 03353
Andrea Barberis, CDM/CM, Monza, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/219594.png, 03354
Erik Palmer-Brown, CB, ESTAC Troyes, United States, Value: 150, https://fifastatic.fifaindex.com/FIFA23/players/219461.png, 03355
Sargis Adamyan, ST/LM/CAM, 1. FC Köln, Armenia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/218534.png, 03356
Khama Billiat, CF/RW/ST, Kaizer Chiefs, Zimbabwe, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/218154.png, 03357
Mbwana Ally Samatta, ST, KRC Genk, Tanzania, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/218066.png, 03358
Andrew Hjulsager, CAM/CM/CF, KAA Gent, Denmark, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/217845.png, 03359
Alexis Martín Arias, GK, Argentinos Jrs., Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/217805.png, 03360
Mame Thiam, LM/ST/LW, Kayserispor, Senegal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/217007.png, 03361
Carlos Manuel Cardoso Mané, RW/LW/LM, Kayserispor, Portugal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/216749.png, 03362
Alan Browne, CM/RWB/RM, Preston, Republic of Ireland, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/216464.png, 03363
Erik, ST/LW, Changchun Yatai, Brazil, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/216391.png, 03364
Domagoj Antolić, CM/CDM/CAM, Damac FC, Croatia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/216351.png, 03365
Patrick Mainka, CB, Heidenheim, Germany, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/216199.png, 03366
Alireza Jahanbakhsh, RW, Feyenoord, Iran, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215871.png, 03367
Jason, RM, D. Alavés, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215616.png, 03368
Matt Miazga, CB, FC Cincinnati, United States, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/215565.png, 03369
Alexander Schlager, GK, LASK, Austria, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/215522.png, 03370
Christian Mathenia, GK, 1. FC Nürnberg, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215417.png, 03371
Leonardo Jara, RB, Vélez Sarsfield, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215331.png, 03372
Jonathan Silva, LB/LWB/CB, Granada CF, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215322.png, 03373
Martín Cauteruccio, ST/RM, Independiente, Uruguay, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215292.png, 03374
Rubén Botta, CAM/RM/CF, Bari, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215199.png, 03375
Mariano Bíttolo, LB/LWB/LM, Argentinos Jrs., Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215148.png, 03376
Sebastián Moyano, GK, Unión, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215132.png, 03377
Alan Aguerre, GK, Talleres, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215123.png, 03378
Brayan Cortés, GK, Colo-Colo, Chile, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/215086.png, 03379
Pablo Pérez, CM/CDM, Newell's, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/215079.png, 03380
Matías Catalán, CB/RB, Talleres, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214990.png, 03381
Lucas Villafañez, CAM/CM/LW, Apoel FC, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214973.png, 03382
Emmanuel Mas, LB/LWB/LM, Estudiantes, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214955.png, 03383
Sebastian Schonlau, CB, Hamburger SV, Germany, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/214948.png, 03384
Paolo Goltz, CB, Colón, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214763.png, 03385
Patricio Rubio, ST/LW, Ñublense, Chile, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214685.png, 03386
Jesper Karlström, CDM, Lech Poznań, Sweden, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/214658.png, 03387
Mauricio Cuero, RM/LM, Independiente, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214434.png, 03388
Fredy Hinestroza, LM/RM, Junior, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214421.png, 03389
Danovis Banguero, LB, Atl. Nacional, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214393.png, 03390
Felipe Aguilar, CB, Lanús, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214384.png, 03391
Felipe Pardo, RM/RW, Indep. Medellín, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214207.png, 03392
Sergio Otálvaro, RB/RM, Olimpia, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214111.png, 03393
Tim Kleindienst, ST, Heidenheim, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/214096.png, 03394
Davide Biraschi, CB/RB, Karagümrük SK, Italy, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/213938.png, 03395
Aketxe, CAM, SD Eibar, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/213937.png, 03396
Alex Mowatt, CM/CDM, Middlesbrough, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/213798.png, 03397
Ken Sema, RM/LM, Watford, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/213750.png, 03398
Samuel Gustafson, CDM/CM, BK Häcken, Sweden, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/213614.png, 03399
Alan Ruiz, CAM/CM/ST, Arouca, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/213582.png, 03400
Facundo Ferreyra, ST, Argentinos Jrs., Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/213432.png, 03401
Lucas Cháves, GK, Huracán, Argentina, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/213272.png, 03402
Kellyn Acosta, CM/CDM, LAFC, United States, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/213209.png, 03403
Wylan Cyprien, CDM/CM, FC Sion, France, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/212886.png, 03404
Jorrit Hendrix, CDM/CM, Düsseldorf, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212755.png, 03405
Maxime Chanot, CB, New York City FC, Luxembourg, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212607.png, 03406
John Souttar, CB, Rangers, Scotland, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/212516.png, 03407
Roberto Insigne, RW/RM, Frosinone, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212381.png, 03408
Jonas Meffert, CDM/CM, Hamburger SV, Germany, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/212321.png, 03409
Jack O'Connell, CB, Sheffield Utd, England, Value: 144, https://fifastatic.fifaindex.com/FIFA23/players/212300.png, 03410
Andreas Maxsø, CB, Colorado Rapids, Denmark, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212287.png, 03411
Issiaga Sylla, LB/LWB, Montpellier, Guinea, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212282.png, 03412
Clinton Njie, RM/ST, Sivasspor, Cameroon, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212273.png, 03413
Ivan Cavaleiro, LM/LW/ST, Alanyaspor, Portugal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/212267.png, 03414
Max Lowe, LWB/LB, Sheffield Utd, England, Value: 150, https://fifastatic.fifaindex.com/FIFA23/players/212100.png, 03415
Sondre Tronstad, CM/CDM, Vitesse, Norway, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/212099.png, 03416
Alex Muñoz, LB/CB, Levante UD, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211857.png, 03417
Nicolas Gavory, LB/LWB/CB, Düsseldorf, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211844.png, 03418
Damian Kądzior, CF/LM/RM, Piast Gliwice, Poland, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211626.png, 03419
Federico Barba, CB/LB, Pisa, Italy, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/211557.png, 03420
Lewis Baker, CM/CDM, Stoke City, England, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/211504.png, 03421
Jonatan Gómez, CAM/CM, Racing Club, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211489.png, 03422
Jackson Irvine, CM, FC St. Pauli, Australia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211378.png, 03423
Tom Lockyer, CB, Luton Town, Wales, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211363.png, 03424
Marco Benassi, CM, Cremonese, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211354.png, 03425
Nyasha Mushekwi, ST, Zhejiang Pro, Zimbabwe, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211292.png, 03426
Martin Boyle, RM/ST, Hibernian, Australia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211221.png, 03427
Pedro Santos, LB/LM/RM, D.C. United, Portugal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211119.png, 03428
De La Hoz, CDM/CB, UD Almería, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/211037.png, 03429
Ben Osborn, LWB/LM/CM, Sheffield Utd, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210985.png, 03430
Patrick Drewes, GK, SV Sandhausen, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210772.png, 03431
Anthony Partipilo, CAM/ST/CF, Ternana, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210671.png, 03432
Jordi Quintillà, CDM/CM, FC St. Gallen, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210619.png, 03433
Yasser Al Shahrani, LB/RB, Al Hilal, Saudi Arabia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210603.png, 03434
Charalampos Lykogiannis, LB/LM/LWB, Bologna, Greece, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/210381.png, 03435
Quini, RB/LB, Granada CF, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209937.png, 03436
Carlinhos, CM/CAM, Portimonense SC, Brazil, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209828.png, 03437
Joshua Brenet, RB/LB, FC Twente, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209818.png, 03438
Pierrick Capelle, RM/CM/LM, Angers SCO, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209781.png, 03439
Siebe Schrijvers, CM/CF/ST, OH Leuven, Belgium, Value: 146, https://fifastatic.fifaindex.com/FIFA23/players/209780.png, 03440
Andrés Cadavid, CB, Indep. Medellín, Colombia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209738.png, 03441
Birama Touré, CDM/CM, AJ Auxerre, Mali, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209698.png, 03442
Dimitrios Siovas, CB, Fortuna Sittard, Greece, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209669.png, 03443
Florian Tardieu, CDM/CM, ESTAC Troyes, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209618.png, 03444
Daniel Bachmann, GK, Watford, Austria, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209532.png, 03445
Branimir Hrgota, CAM/ST, Fürth , Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209504.png, 03446
Gerso, LW/RW, Incheon United, Guinea Bissau, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209449.png, 03447
Thom Haye, CM/CDM, sc Heerenveen, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/209316.png, 03448
Sam Byram, LB/RB, Norwich, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208892.png, 03449
Youssouf M'Changama, CAM/CM, AJ Auxerre, Comoros, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208835.png, 03450
Thomas Foket, RB/RWB, Stade de Reims, Belgium, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208509.png, 03451
Marcus Danielson, CB, Djurgårdens IF, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208440.png, 03452
Magnus Eriksson, CM, Djurgårdens IF, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208437.png, 03453
Dimitrios Kourbelis, CDM/CB/CM, Panathinaikos, Greece, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208260.png, 03454
Lars Veldwijk, ST, Suwon FC, South Africa, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/208153.png, 03455
Lucas Lima, LB, Başakşehir, Brazil, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/207924.png, 03456
Kaan Ayhan, CB, Galatasaray, Turkey, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/207790.png, 03457
Paulinho, ST/CAM, Shanghai Port, Brazil, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/207734.png, 03458
Jere Uronen, LB/LM, FC Schalke 04, Finland, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/207593.png, 03459
Filip Helander, CB, Free Agents, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/207555.png, 03460
Matt Hedges, CB, Toronto FC, United States, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/206662.png, 03461
Mikael Ishak, ST, Lech Poznań, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/206626.png, 03462
Dominique Heintz, CB, VfL Bochum, Germany, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/206198.png, 03463
Amato Ciciretti, RM/RW/CAM, Ascoli, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/206160.png, 03464
Vlad Chiricheș, CB, Cremonese, Romania, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205943.png, 03465
Nicola Murru, LB/LM, Sampdoria, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205934.png, 03466
Leonardo Pavoletti, ST, Cagliari, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205850.png, 03467
Stefano Denswil, CB/LB, Trabzonspor, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205756.png, 03468
Lucas Castro, CM/CAM, Huracán, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205633.png, 03469
Jack Price, CDM/CM, Colorado Rapids, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205585.png, 03470
Mirko Pigliacelli, GK, Palermo, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205530.png, 03471
Matteo Bianchetti, CB, Cremonese, Italy, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/205363.png, 03472
Choi Young Joon, CDM/CM, Jeju United, Korea Republic, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205156.png, 03473
Mattia Valoti, CM, Monza, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/205089.png, 03474
Salvador Agra, RW/LW, Boavista FC, Portugal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204737.png, 03475
Joãozinho, LB, Estoril Praia, Portugal, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204731.png, 03476
Ghayas Zahid, CAM/CM, MKE Ankaragücü, Norway, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204675.png, 03477
Davy Roef, GK, KAA Gent, Belgium, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204549.png, 03478
Mick van Buren, ST/RW, Slavia Praha, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204506.png, 03479
Jan Bořil, LB/RB, Slavia Praha, Czech Republic, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204125.png, 03480
Kenny Lala, RB/RWB, Stade Brestois 29, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204105.png, 03481
Marcello Falzerano, RM/RW/CM, Ascoli, Italy, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/204061.png, 03482
Koffi Djidji, CB, Torino, Ivory Coast, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203884.png, 03483
Loris Karius, GK, Newcastle Utd, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203775.png, 03484
Thomas Delaine, RWB/LWB, Strasbourg, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203741.png, 03485
Virgil Misidjan, LW/RW, FC Twente, Netherlands, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203725.png, 03486
Gaëtan Courtet, ST, En Avant Guingamp, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203699.png, 03487
Joe Bryan, LB/LWB, OGC Nice, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203505.png, 03488
Thomas Monconduit, CDM/CM, AS Saint-Étienne, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203128.png, 03489
Jack Butland, GK, Manchester Utd, England, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/203042.png, 03490
Facundo Quignon, CDM/CM, FC Dallas, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/202331.png, 03491
Simon Zoller, ST/RM/RW, VfL Bochum, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/202276.png, 03492
Konstantinos Stafylidis, LB/RB/CDM, VfL Bochum, Greece, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/202151.png, 03493
Luis Mejía, GK, Unión Española, Panama, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/202089.png, 03494
Diego Fagundez, LM/RM/CAM, Austin FC, Uruguay, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201895.png, 03495
Veton Berisha, ST, Molde FK, Norway, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201888.png, 03496
Ohi Omoijuanfo, ST, Brøndby IF, Norway, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201876.png, 03497
Noë Dussenne, CB, Standard Liège, Belgium, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201841.png, 03498
Kim Young Gwon, CB, Ulsan Hyundai, Korea Republic, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201528.png, 03499
Juankar, LB/LWB, Panathinaikos, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201509.png, 03500
Kenny McLean, CDM/CM/LB, Norwich, Scotland, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201368.png, 03501
Christian Gytkjær, ST, Monza, Denmark, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201285.png, 03502
Milan Badelj, CDM/CM, Genoa, Croatia, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/201144.png, 03503
Emmanuel Gigliotti, ST, Nacional, Argentina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200875.png, 03504
Muhamed Bešić, CDM/RB, Ferencvárosi TC, Bosnia & Herzegovina, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200765.png, 03505
Christopher Schindler, CB, 1. FC Nürnberg, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200607.png, 03506
Benito Raman, ST/RM/LM, RSC Anderlecht, Belgium, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200429.png, 03507
Michael Esser, GK, VfL Bochum, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200212.png, 03508
Nicolai Boilesen, CB, F.C. København, Denmark, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200108.png, 03509
Pedro Obiang, CDM/CM, Sassuolo, Equatorial Guinea, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/200054.png, 03510
Sonny Kittel, CAM/LW/CM, Hamburger SV, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199912.png, 03511
Jesse Joronen, GK, Venezia, Finland, Value: 142, https://fifastatic.fifaindex.com/FIFA23/players/199904.png, 03512
Numa Lavanchy, RB/RWB/RM, FC Sion, Switzerland, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199890.png, 03513
André Hoffmann, CB, Düsseldorf, Germany, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199779.png, 03514
Wilson Eduardo, ST, Alanyaspor, Angola, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199737.png, 03515
Nolito, LM/ST, UD Ibiza, Spain, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199561.png, 03516
Yoann Court, RM/LM/CAM, SM Caen, France, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199419.png, 03517
Kim Tae Hwan, RB/RWB, Ulsan Hyundai, Korea Republic, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199231.png, 03518
Anton Tinnerholm, RB, Malmö FF, Sweden, Value: 140, https://fifastatic.fifaindex.com/FIFA23/players/199131.png, 03519
